2026-02-14 21:15:39.478 | ERROR | src.supabase_client:_query:57 | Supabase query failed (trades): {'message': "Could not find the table 'public.trades' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:15:39.509 | ERROR | src.supabase_client:_query:57 | Supabase query failed (performance_metrics): {'message': "Could not find the table 'public.performance_metrics' in the schema cache", 'code': 'PGRST205', 'hint': None, 'details': None}
2026-02-14 21:56:13.557 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the 'exchange' column of 'watcher_signals' in the schema cache", 'code': 'PGRST204', 'hint': None, 'details': None}
2026-02-14 21:56:13.665 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the 'exchange' column of 'watcher_signals' in the schema cache", 'code': 'PGRST204', 'hint': None, 'details': None}
2026-02-14 21:56:13.773 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the 'exchange' column of 'watcher_signals' in the schema cache", 'code': 'PGRST204', 'hint': None, 'details': None}
2026-02-14 21:56:13.851 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the 'exchange' column of 'watcher_signals' in the schema cache", 'code': 'PGRST204', 'hint': None, 'details': None}
2026-02-14 21:56:13.948 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the 'exchange' column of 'watcher_signals' in the schema cache", 'code': 'PGRST204', 'hint': None, 'details': None}
2026-02-14 21:56:14.019 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the 'exchange' column of 'watcher_signals' in the schema cache", 'code': 'PGRST204', 'hint': None, 'details': None}
2026-02-14 21:56:14.072 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the 'exchange' column of 'watcher_signals' in the schema cache", 'code': 'PGRST204', 'hint': None, 'details': None}
2026-02-14 21:56:14.253 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the 'exchange' column of 'watcher_signals' in the schema cache", 'code': 'PGRST204', 'hint': None, 'details': None}
2026-02-14 21:56:14.312 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the 'exchange' column of 'watcher_signals' in the schema cache", 'code': 'PGRST204', 'hint': None, 'details': None}
2026-02-14 21:56:14.384 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the 'exchange' column of 'watcher_signals' in the schema cache", 'code': 'PGRST204', 'hint': None, 'details': None}
2026-02-14 21:56:14.450 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the 'exchange' column of 'watcher_signals' in the schema cache", 'code': 'PGRST204', 'hint': None, 'details': None}
2026-02-14 21:56:14.536 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the 'exchange' column of 'watcher_signals' in the schema cache", 'code': 'PGRST204', 'hint': None, 'details': None}
2026-02-14 21:56:14.624 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the 'exchange' column of 'watcher_signals' in the schema cache", 'code': 'PGRST204', 'hint': None, 'details': None}
2026-02-14 21:56:14.710 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the 'exchange' column of 'watcher_signals' in the schema cache", 'code': 'PGRST204', 'hint': None, 'details': None}
2026-02-14 21:56:14.852 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the 'exchange' column of 'watcher_signals' in the schema cache", 'code': 'PGRST204', 'hint': None, 'details': None}
2026-02-14 21:56:14.916 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the 'exchange' column of 'watcher_signals' in the schema cache", 'code': 'PGRST204', 'hint': None, 'details': None}
2026-02-14 21:56:14.998 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the 'exchange' column of 'watcher_signals' in the schema cache", 'code': 'PGRST204', 'hint': None, 'details': None}
2026-02-14 21:56:15.111 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the 'exchange' column of 'watcher_signals' in the schema cache", 'code': 'PGRST204', 'hint': None, 'details': None}
2026-02-14 21:56:15.168 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the 'exchange' column of 'watcher_signals' in the schema cache", 'code': 'PGRST204', 'hint': None, 'details': None}
2026-02-14 21:56:15.226 | ERROR | src.supabase_client:_insert:28 | Supabase insert failed (watcher_signals): {'message': "Could not find the 'exchange' column of 'watcher_signals' in the schema cache", 'code': 'PGRST204', 'hint': None, 'details': None}
